iter	AUC	Logloss
95	0.9762874436	0.1845918971
96	0.9763009202	0.1845217477
97	0.9763298227	0.1844220053
98	0.9763478686	0.1843622476
99	0.9763626146	0.1842814411
100	0.9764105398	0.1841303379
101	0.9764188995	0.1841040438
102	0.9764360041	0.1840387158
103	0.9764564147	0.1839598693
104	0.9764705245	0.1839081807
105	0.9764840524	0.1838637344
106	0.9764896439	0.1838438868
107	0.9765077676	0.1837622946
108	0.9765353871	0.1836832036
109	0.9765567609	0.1836002119
110	0.9765838552	0.1834996885
111	0.9765895886	0.1834628108
112	0.9766009722	0.1834093314
113	0.9766163747	0.183369342
114	0.9766315103	0.1833175117
115	0.9766427346	0.1832719415
116	0.9766532873	0.1832376271
117	0.9766742946	0.1831685197
118	0.9766918003	0.1831050811
119	0.976713352	0.1830217135
120	0.9767198209	0.1829926556
121	0.9767394327	0.1829378253
122	0.9767664263	0.1828424094
123	0.9767891564	0.1827731335
124	0.9767959346	0.1827497688
125	0.9768138566	0.1826975133
126	0.9768299118	0.1826535563
127	0.9768503251	0.1825858188
128	0.9768701988	0.1825292299
129	0.9768882972	0.1824731539
130	0.9769053108	0.1824159958
131	0.9769127634	0.1823910252
132	0.9769247179	0.1823332483
133	0.976936834	0.1822822749
134	0.9769633131	0.1822071284
135	0.976967592	0.1821924579
136	0.9769876407	0.1821281047
137	0.9770112313	0.1820479371
138	0.977034971	0.1819376855
139	0.977056869	0.1818594767
140	0.9770741065	0.181801133
141	0.9770995382	0.1817028593
142	0.9771122574	0.1816495202
143	0.9771260463	0.1815945099
144	0.9771434583	0.1815354776
145	0.9771524406	0.1815072865
146	0.9771570376	0.1814883765
147	0.9771732487	0.1814319449
148	0.9771814611	0.1814052476
149	0.9771866266	0.1813886195
150	0.9771920994	0.1813659557
151	0.9772045694	0.1813129575
152	0.9772144593	0.1812685096
153	0.9772222143	0.1812462437
154	0.9772299071	0.1812132468
155	0.9772345148	0.1811978345
156	0.9772402523	0.1811766921
157	0.9772570773	0.1811201448
158	0.9772611085	0.181110706
159	0.977266422	0.1810928253
160	0.977274006	0.1810620875
161	0.9772846429	0.1810075171
162	0.9772966139	0.1809669183
163	0.9773116429	0.1809205556
164	0.9773151643	0.1808828171
165	0.9773192459	0.1808699163
166	0.9773330659	0.1808176269
167	0.9773432332	0.1807733422
168	0.9773560355	0.1807415111
169	0.9773619369	0.1807195635
170	0.977382905	0.180635658
171	0.9773927013	0.1805915484
172	0.9774072564	0.1805508055
173	0.9774160006	0.1805119908
174	0.9774316712	0.1804685116
175	0.9774555265	0.1803604888
176	0.9774620318	0.1803397753
177	0.9774680942	0.1803140785
178	0.9774815201	0.1802715808
179	0.9774965454	0.1802242989
180	0.9775051019	0.1801967294
181	0.9775097319	0.1801839615
182	0.9775185568	0.1801503336
183	0.9775256596	0.180122846
184	0.9775456482	0.1800462169
185	0.9775587285	0.1799779505
186	0.9775733269	0.1799318298
